"","Open","High","Low","Close","rsi","fastK","fastD","slowD","SMI","signal","SMA","futureprice22","futureprice23","futureprice24","futureprice25","futureprice26","futureprice27","futureprice28"
"2000-09-01",61.312496,1.136161,1.091518,63.437528,75.8210047249705,0.989051810963886,0.972461155241926,0.967253392634113,43.2147002830186,19.0851588186845,52.31304568,23.625,22.062488,22.18748,21.750008,20.875008,19.624976,20.000008
"2000-09-05",62.656272,1.145089,1.111607,62.43748,71.8983734626135,0.902526597035106,0.951514564187443,0.964693550952581,47.4854315982761,24.7652133746028,52.39117072,22.062488,22.18748,21.750008,20.875008,19.624976,20.000008,22.062488
"2000-09-06",61.374992,1.113839,1.03125,58.437512,58.7958492097463,0.640317885297805,0.843965431098932,0.9226470501761,47.1401212689136,29.240194953465,52.40648336,22.18748,21.750008,20.875008,19.624976,20.000008,22.062488,21.500024
"2000-09-07",59.125024,1.117188,1.040179,62.000008,64.9263916897877,0.853449607612927,0.798764696648612,0.864748230644996,48.4639948112565,33.0849549250233,52.4671084,21.750008,20.875008,19.624976,20.000008,22.062488,21.500024,20.125
"2000-09-08",61.624976,1.100446,1.044643,58.874984,56.9253375706169,0.637930235432244,0.710565909447659,0.784432012398401,47.4500844653731,35.9579808330932,52.43648312,20.875008,19.624976,20.000008,22.062488,21.500024,20.125,20.125
"2000-09-11",58.687496,1.078125,1.037946,58.437512,55.887047513524,0.586364469423911,0.692581437489694,0.733970681195322,45.2912635334293,37.8246373731605,52.38648296,19.624976,20.000008,22.062488,21.500024,20.125,20.125,18.93752
"2000-09-12",57.343776,1.072545,1.017857,57.75,54.2135105256583,0.511963096815128,0.578752600557094,0.660633315831483,41.7920673582395,38.6181233701763,52.35835808,20.000008,22.062488,21.500024,20.125,20.125,18.93752,19.499984
"2000-09-13",56.750008,1.0625,1.013393,57.999984,54.7441692440532,0.430231710112313,0.509519758783784,0.593617932276858,37.4236470234181,38.3792281008246,52.34398288,22.062488,21.500024,20.125,20.125,18.93752,19.499984,20.374984
"2000-09-14",58.562504,1.064732,1.014509,56.859376,51.7945182114955,0.0625031612870597,0.334899322738167,0.474390560693015,31.7171567040754,37.0468138214748,52.31007656,21.500024,20.125,20.125,18.93752,19.499984,20.374984,18.875024
"2000-09-15",57.75,1.039063,0.96875,55.234368,47.8397129152743,0.0996829969547291,0.197472622784701,0.347297234768884,25.0173899713425,34.6409290514483,52.22085792,20.125,20.125,18.93752,19.499984,20.374984,18.875024,18.499992
"2000-09-18",55.249992,1.084821,0.983259,60.656232,59.0693911800961,0.648733405542733,0.270306521261507,0.267559488928125,23.1011095416335,32.3329651494854,52.22085792,20.125,18.93752,19.499984,20.374984,18.875024,18.499992,18.499992
"2000-09-19",59.749984,1.080357,1.045759,59.937528,57.3081066257286,0.575953135721537,0.441456512739667,0.303078552261958,22.1440840416388,30.2951889279161,52.18648344,18.93752,19.499984,20.374984,18.875024,18.499992,18.499992,18.562488
"2000-09-20",59.406256,1.097098,1.045759,61.046888,59.3241983049418,0.688293570906039,0.637660037390103,0.449807690463759,22.5422251424488,28.7445961708226,52.17663976,19.499984,20.374984,18.875024,18.499992,18.499992,18.562488,19.312496
"2000-09-21",58.500008,1.064732,0.986607,56.687512,49.4430650458542,0.246837058166373,0.50369458826465,0.52760371279814,19.3389189672741,26.8634607301129,52.1219524,20.374984,18.875024,18.499992,18.499992,18.562488,19.312496,19.56248
"2000-09-22",50.312528,0.936384,0.892857,52.18752,41.7184756154476,0.154869326651654,0.363333318574689,0.501562648076481,13.4753267217671,24.1858339284437,52.0544528,18.875024,18.499992,18.499992,18.562488,19.312496,19.56248,20.499976
"2000-09-25",52.749984,0.991071,0.929688,53.499992,44.4446814979159,0.278606166780338,0.226770850532789,0.364599585790709,8.38627127807468,21.0259213983699,52.01414008,18.499992,18.499992,18.562488,19.312496,19.56248,20.499976,22.312528
"2000-09-26",53.312504,0.977679,0.917411,51.437512,41.1844711336433,0.11442912482002,0.182634872750671,0.257579680619383,2.42597522351818,17.3059321633996,51.97507784,18.499992,18.562488,19.312496,19.56248,20.499976,22.312528,22.249976
"2000-09-27",51.749992,0.941964,0.861607,48.937504,37.5854687649594,0.0514028278463734,0.148146039815577,0.185850587699679,-4.83436810718137,12.8778721092834,51.89882768,18.562488,19.312496,19.56248,20.499976,22.312528,22.249976,21.437528
